
...................................................
before gpu command
after gpu command
(1/8);|=========================================================================================|
|     Epoch    |   Iteration  | Time Elapsed |  Mini-batch  |  Mini-batch  | Base Learning|
|              |              |  (seconds)   |     Loss     |   Accuracy   |     Rate     |
|=========================================================================================|
|           14 |         8750 |        84.68 |       0.2586 |       87.50% |     0.006400 |
|           14 |         8800 |        85.17 |       0.2968 |       78.12% |     0.006400 |
|           14 |         8850 |        85.66 |       0.3877 |       78.12% |     0.006400 |
|           14 |         8900 |        86.14 |       0.4235 |       78.12% |     0.006400 |
|           14 |         8950 |        86.64 |       0.3596 |       81.25% |     0.006400 |
|           14 |         9000 |        87.12 |       0.1483 |       96.88% |     0.006400 |
|           14 |         9050 |        87.61 |       0.3700 |       79.69% |     0.006400 |
|           14 |         9100 |        88.10 |       0.2629 |       87.50% |     0.006400 |
|           15 |         9150 |        88.60 |       0.2920 |       87.50% |     0.006400 |
|           15 |         9200 |        89.09 |       0.2514 |       90.62% |     0.006400 |
|           15 |         9250 |        89.58 |       0.2980 |       82.81% |     0.006400 |
|           15 |         9300 |        90.07 |       0.3398 |       78.12% |     0.006400 |
|           15 |         9350 |        90.56 |       0.3794 |       76.56% |     0.006400 |
|           15 |         9400 |        91.04 |       0.3053 |       84.38% |     0.006400 |
|           15 |         9450 |        91.52 |       0.4311 |       71.88% |     0.006400 |
|           15 |         9500 |        92.00 |       0.4418 |       76.56% |     0.006400 |
|           15 |         9550 |        92.48 |       0.2963 |       82.81% |     0.006400 |
|           15 |         9600 |        92.96 |       0.3421 |       78.12% |     0.006400 |
|           15 |         9650 |        93.44 |       0.3285 |       81.25% |     0.006400 |
|           15 |         9700 |        93.92 |       0.3318 |       82.81% |     0.006400 |
|           15 |         9750 |        94.40 |       0.4209 |       75.00% |     0.006400 |
|=========================================================================================|
(2/8);|=========================================================================================|
|     Epoch    |   Iteration  | Time Elapsed |  Mini-batch  |  Mini-batch  | Base Learning|
|              |              |  (seconds)   |     Loss     |   Accuracy   |     Rate     |
|=========================================================================================|
|            1 |           50 |         0.45 |       0.6925 |       56.25% |     0.100000 |
|            1 |          100 |         0.89 |       0.6894 |       57.81% |     0.100000 |
|            1 |          150 |         1.33 |       0.6903 |       57.81% |     0.100000 |
|            1 |          200 |         1.78 |       0.7055 |       45.31% |     0.100000 |
|            1 |          250 |         2.22 |       0.6816 |       57.81% |     0.100000 |
|            1 |          300 |         2.66 |       0.6961 |       48.44% |     0.100000 |
|            1 |          350 |         3.10 |       0.7062 |       43.75% |     0.100000 |
|            1 |          400 |         3.55 |       0.6899 |       53.12% |     0.100000 |
|            1 |          450 |         3.99 |       0.6338 |       64.06% |     0.100000 |
|            1 |          500 |         4.43 |       0.6044 |       59.38% |     0.100000 |
|            1 |          550 |         4.88 |       0.5757 |       68.75% |     0.100000 |
|            1 |          600 |         5.32 |       0.5011 |       67.19% |     0.100000 |
|            1 |          650 |         5.77 |       0.5087 |       75.00% |     0.100000 |
|            2 |          700 |         6.22 |       0.5389 |       67.19% |     0.100000 |
|            2 |          750 |         6.67 |       0.5199 |       67.19% |     0.100000 |
|            2 |          800 |         7.11 |       0.5788 |       75.00% |     0.100000 |
|            2 |          850 |         7.55 |       0.5654 |       68.75% |     0.100000 |
|            2 |          900 |         7.99 |       0.5284 |       57.81% |     0.100000 |
|            2 |          950 |         8.44 |       0.4399 |       73.44% |     0.100000 |
|            2 |         1000 |         8.89 |       0.5021 |       70.31% |     0.100000 |
|            2 |         1050 |         9.33 |       0.5227 |       79.69% |     0.100000 |
|            2 |         1100 |         9.78 |       0.5870 |       57.81% |     0.100000 |
|            2 |         1150 |        10.22 |       0.4513 |       70.31% |     0.100000 |
|            2 |         1200 |        10.67 |       0.5008 |       73.44% |     0.100000 |
|            2 |         1250 |        11.11 |       0.4812 |       84.38% |     0.100000 |
|            2 |         1300 |        11.56 |       0.5185 |       75.00% |     0.100000 |
|            2 |         1350 |        12.01 |       0.4101 |       73.44% |     0.100000 |
|            3 |         1400 |        12.46 |       0.5346 |       81.25% |     0.100000 |
|            3 |         1450 |        12.91 |       0.4961 |       68.75% |     0.100000 |
|            3 |         1500 |        13.35 |       0.4116 |       82.81% |     0.100000 |
|            3 |         1550 |        13.80 |       0.3859 |       79.69% |     0.100000 |
|            3 |         1600 |        14.24 |       0.5589 |       62.50% |     0.100000 |
|            3 |         1650 |        14.69 |       0.3737 |       75.00% |     0.100000 |
|            3 |         1700 |        15.13 |       0.3955 |       82.81% |     0.100000 |
|            3 |         1750 |        15.57 |       0.4036 |       67.19% |     0.100000 |
|            3 |         1800 |        16.02 |       0.4021 |       71.88% |     0.100000 |
|            3 |         1850 |        16.46 |       0.3755 |       87.50% |     0.100000 |
|            3 |         1900 |        16.90 |       0.5253 |       65.62% |     0.100000 |
|            3 |         1950 |        17.35 |       0.4672 |       65.62% |     0.100000 |
|            3 |         2000 |        17.79 |       0.3775 |       76.56% |     0.100000 |
|            4 |         2050 |        18.25 |       0.4480 |       76.56% |     0.100000 |
|            4 |         2100 |        18.70 |       0.4002 |       79.69% |     0.100000 |
|            4 |         2150 |        19.14 |       0.6184 |       70.31% |     0.100000 |
|            4 |         2200 |        19.59 |       0.4547 |       73.44% |     0.100000 |
|            4 |         2250 |        20.03 |       0.4149 |       84.38% |     0.100000 |
|            4 |         2300 |        20.48 |       0.4460 |       75.00% |     0.100000 |
|            4 |         2350 |        20.92 |       0.4181 |       68.75% |     0.100000 |
|            4 |         2400 |        21.37 |       0.3618 |       76.56% |     0.100000 |
|            4 |         2450 |        21.82 |       0.3346 |       78.12% |     0.100000 |
|            4 |         2500 |        22.26 |       0.2962 |       81.25% |     0.100000 |
|            4 |         2550 |        22.71 |       0.4290 |       75.00% |     0.100000 |
|            4 |         2600 |        23.16 |       0.6319 |       81.25% |     0.100000 |
|            4 |         2650 |        23.60 |       0.6400 |       65.62% |     0.100000 |
|            4 |         2700 |        24.05 |       0.3517 |       76.56% |     0.100000 |
|            5 |         2750 |        24.52 |       0.3846 |       85.94% |     0.040000 |
|            5 |         2800 |        24.97 |       0.3918 |       82.81% |     0.040000 |
|            5 |         2850 |        25.42 |       0.3560 |       81.25% |     0.040000 |
|            5 |         2900 |        25.86 |       0.3316 |       85.94% |     0.040000 |
|            5 |         2950 |        26.31 |       0.3714 |       79.69% |     0.040000 |
|            5 |         3000 |        26.75 |       0.3558 |       75.00% |     0.040000 |
|            5 |         3050 |        27.20 |       0.4147 |       84.38% |     0.040000 |
|            5 |         3100 |        27.65 |       0.3118 |       85.94% |     0.040000 |
|            5 |         3150 |        28.09 |       0.3880 |       76.56% |     0.040000 |
|            5 |         3200 |        28.54 |       0.3217 |       90.62% |     0.040000 |
|            5 |         3250 |        28.99 |       0.4181 |       81.25% |     0.040000 |
|            5 |         3300 |        29.44 |       0.3157 |       90.62% |     0.040000 |
|            5 |         3350 |        29.88 |       0.3647 |       79.69% |     0.040000 |
|            6 |         3400 |        30.35 |       0.4423 |       76.56% |     0.040000 |
|            6 |         3450 |        30.79 |       0.3847 |       79.69% |     0.040000 |
|            6 |         3500 |        31.24 |       0.5846 |       71.88% |     0.040000 |
|            6 |         3550 |        31.68 |       0.4856 |       75.00% |     0.040000 |
|            6 |         3600 |        32.13 |       0.3279 |       84.38% |     0.040000 |
|            6 |         3650 |        32.60 |       0.3830 |       79.69% |     0.040000 |
|            6 |         3700 |        33.08 |       0.4096 |       73.44% |     0.040000 |
|            6 |         3750 |        33.55 |       0.4681 |       62.50% |     0.040000 |
|            6 |         3800 |        34.03 |       0.3113 |       84.38% |     0.040000 |
|            6 |         3850 |        34.50 |       0.3470 |       78.12% |     0.040000 |
|            6 |         3900 |        34.97 |       0.3838 |       76.56% |     0.040000 |
|            6 |         3950 |        35.44 |       0.2801 |       90.62% |     0.040000 |
|            6 |         4000 |        35.92 |       0.4090 |       81.25% |     0.040000 |
|            6 |         4050 |        36.39 |       0.3580 |       73.44% |     0.040000 |
|            7 |         4100 |        36.87 |       0.3157 |       85.94% |     0.040000 |
|            7 |         4150 |        37.34 |       0.3866 |       76.56% |     0.040000 |
|            7 |         4200 |        37.81 |       0.3127 |       84.38% |     0.040000 |
